order_id,order_date,customer_id,order_amount,status,remarks
1001,2024-01-05,501,1200,COMPLETED,
1002,05-01-2024,502,abc,COMPLETED,"amount error"
1003,2024/01/06,,1500,PENDING,
,2024-01-06,504,1800,COMPLETED,
1005,2024-13-01,505,1600,COMPLETED,
1006,2024-01-07,506,2000,COMPLETED,
1007,2024-01-07,507,-500,CANCELLED,
1008,2024-01-08,508,,COMPLETED,
1009,2024-01-08,509,"$1700",COMPLETED,
1010,2024-01-09,510,"1,800",COMPLETED,
1011,2024-01-09,511,1800 ,completed,
1012,,512,1900,PENDING,
1013,2024-01-10,513,2000,COMPLETED,"urgent delivery, handle carefully"
order_id,order_date,customer_id,order_amount,status,remarks
1014,2024-01-10,514,2100,COMPLETED,
1015,2024-01-11,515,2200,COMPLETED,
1016,2024-01-11,516,2300,COMPLETED,
1017,2024-01-12,517,2400,COMPLETED,
1018,2024-01-12,518,2500,COMPLETED,